Search Term,Paper Title,Database,DOI link
Finding Attention assessment by using AI,Artificial intelligence technologies and compassion in healthcare: A systematic scoping review,PubMed,https://doi.org/10.3389/fpsyg.2022.971044
Finding Attention assessment by using AI,Smart Classroom: A Deep Learning Approach towards Attention Assessment through Class Behavior Detection,IEEE Xplore,https://doi.org/10.1109/ASET53988.2022.9735018
Finding Attention assessment by using AI,Can AI support human grading? Examining machine attention and confidence in short answer scoring,Science Direct,https://doi.org/10.1016/j.compedu.2025.105244
Finding Attention assessment by using AI,Students' Attention Monitoring System in Learning Environments based on Artificial Intelligence,IEEE Xplore,https://doi.org/10.1109/TLA.2022.9662181
Finding Attention assessment by using AI,Diagnosing attention-deficit hyperactivity disorder (ADHD) using artificial intelligence: a clinical study in the UK,Google Scholar,https://doi.org/10.3389/fpsyt.2023.1164433
Using AI/ML for detecting attention and focus,Next-Generation cyber threat detection and mitigation strategies: a focus on artificial intelligence and machine learning,Google Scholar,https://doi.org10.32996/jcsts.2024.6.1.19
Cognitive focus on deep learning,Deep learning and cognitive science,PubMed,https://doi.org/10.1016/j.cognition.2020.104365
Cognitive focus on deep learning,Using deep learning to predict human decisions and using cognitive models to explain deep learning models,Google Scholar,https://doi.org/10.1038/s41598-022-08863-0
Cognitive focus on deep learning,Cognitive Computing with Deep Learning based Cybersecurity Solution for Human Computer Interface Applications,IEEE Xplore,https://doi.org/10.1109/ICDSNS62112.2024.10691061
Cognitive focus on deep learning,Relating Students Cognitive Processes and Learner-Centered Emotions: An Advanced Deep Learning Approach,ACM Digital Library,https://doi.org/10.1145/3678957.3685751
Cognitive focus on deep learning,Localization of the Epileptic Focus using Multi-scale Deep Learning,ACM Digital Library,https://doi.org/10.1145/3484377.3484380
Cognitive focus on deep learning,An optimal approach for predicting cognitive performance in education based on deep learning,Science Direct,https://doi.org/10.1016/j.chb.2025.108607
Using Artificial Intelligence models for detecting focus,Artificial Intelligence in Healthcare Systems,IEEE Xplore,https://doi.org/10.1109/MCSoC64144.2024.00019
Using Artificial Intelligence models for detecting focus,Determining Important Features for First-Year Student Dropouts Using Artificial Intelligence Algorithms,IEEE Xplore,https://doi.org/10.1109/WAIE63876.2024.00030
Using Artificial Intelligence models for detecting focus,Predicting Level of Visual Focus of Humans Attention Using Machine Learning Approaches,Google Scholar,https://doi.org/10.1007/978-981-33-4673-4_56
Using Artificial Intelligence models for detecting focus, Artificial Intelligence and Home Music Listening_An Overview And Future Directions,ACM Digital Library,https://doi.org/10.1145/3678299.3678330
Using AI/ML for attention measurement,"Machine learning for cognitive behavioral analysis: datasets, methods, paradigms, and research directions",Google Scholar,https://doi.org/10.1186/s40708-023-00196-6
Analysis attention using neural network,"Attention, please! A survey of neural attention models in deep learning",Google Scholar,https://doi.org/10.1007/s10462-022-10148-x
Attention prediction using AI/ML,Analysis of environmental factors using AI and ML methods,Google Scholar,https://doi.org/10.1038/s41598-022-16665-7
Attention prediction using AI/ML,"A Study of the Application of AI & ML to Climate Variation, with Particular Attention to Legal & Ethical Concerns",Google Scholar,https://doi.org/10.4108/eetiot.5468
Attention prediction using AI/ML,Enhancing House Price Prediction Accuracy using Deep Learning and Hyperparameter Tuning with AEDA,IEEE Xplore,https://doi.org/10.1109/ICIIP61524.2023.10537786
AI in cognitive psychology,Cognitive psychology-based artificial intelligence review,gGoogle Scholar,https://doi.org/10.3389/fnins.2022.1024316
AI and ML method in cognitive psychology,A Systematic Literature Review of How to Treat Cognitive Psychology with Artificial Intelligence,gGoogle Scholar,https://doi.org/10.1007/978-981-99-3611-3_29
AI and ML method in cognitive psychology,AI-Powered Breakthroughs: Revolutionizing Cognitive Psychology and Neuropsychology With Machine Learning,gGoogle Scholar,http://doi.org/10.4018/979-8-3693-9341-3.ch003
AI and ML method in cognitive psychology,"Psychology Approach: Through AI, ML and
DL",gGoogle Scholar,https://www.researchgate.net/profile/Anuradha-Dhull-3/publication/359658767_Psychology_Approach_Through_AI_ML_and_DL/links/6274e0b63a23744a7267f2e0/Psychology-Approach-Through-AI-ML-and-DL.pdf
AI and ML method in cognitive psychology,Uses of Artificial Intelligence in Psychology ,gGoogle Scholar,http://doi.org/10.31014/aior.1994.05.04.242
AI and ML method in cognitive psychology,Comprehensive Detection and Analysis of Depression in Women Through Advanced Machine Learning Techniques,IEEE Xplore,http://doi.org/10.1109/ICTBIG64922.2024.10911370
AI and ML method in cognitive psychology,Cognitive Psychology Based Text Analysis Using Feature Extraction and Classification by Deep Learning Architectures for English Language Analysis,ACM Digital Library,https://doi.org/10.1145/3590150
AI and ML method in cognitive psychology,Information Processing for Low Resource Processing Based Cognitive Psychology for Second Language Teaching by Opinion Mining using Deep Learning Architecture,ACM Digital Library,https://doi.org/10.1145/3590151
AI and ML method in cognitive psychology,Generative Co-Learners: Enhancing Cognitive and Social Presence of Students in Asynchronous Learning with Generative AI,ACM Digital Library,https://doi.org/10.1145/3701198
AI and ML method in cognitive psychology,A practical applications guide to machine learning regression models in psychology with Python,ScienceDirect,https://doi.org/10.1016/j.metip.2024.100156
AI and ML method in cognitive psychology,A new era in cognitive neuroscience: the tidal wave of artificial intelligence (AI),PubMed,http://doi.org/10.1186/s12868-024-00869-w
Machine learning for cognitive load estimation,Classification of EEG Signals for Cognitive Load Estimation Using Deep Learning Architectures,gGoogle Scholar,https://doi.org/10.1007/978-3-030-04021-5_6
Machine learning for cognitive load estimation,Cognitive Load Monitoring With Wearables�Lessons Learned From a Machine Learning Challenge,gGoogle Scholar,http://doi.org/10.1109/ACCESS.2021.3093216
Machine learning for cognitive load estimation,Cognitive Load Estimation Using a Hybrid Cluster-Based Unsupervised Machine Learning Technique,gGoogle Scholar,http://doi.org/10.1109/ACCESS.2024.3428691
Machine learning for cognitive load estimation,Cognitive workload level estimation based on eye tracking: A machine learning approach,gGoogle Scholar,http://doi.org/10.1109/BIBE52308.2021.9635166
Machine learning for cognitive load estimation,Evaluating the performance of machine learning models for energy load prediction in residential HVAC systems,ScienceDirect,https://doi.org/10.1016/j.enbuild.2025.115517
AI and attention span detection,"Speed Reading Tool Powered by Artificial Intelligence for Students with ADHD, Dyslexia, or Short Attention Span",gGoogle Scholar,https://doi.org/10.48550/arXiv.2307.14544
