,,6. Education / Learning Environments + AI,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Search Term ,,,Paper Title,,,Database,,,DOI link,,,,,
,,,,,,,,,,,,,,,
,Focus tracking in online learning by using AI,,,A Machine Learning Approach for Understanding the Educational Foci and Technical Solutions of AIED,,,ACM Digital Library,,,https://doi.org/10.1145/3573051.3596181,,,,,
,Focus tracking in online learning by using AI,,,Utilizing Artificial Intelligence Technology to Construct an Online Learning Monitoring and Student Behavior Tracking Model,,,Science Direct,,,https://doi.org/10.1016/j.procs.2024.10.096,,,,,
,Focus tracking in online learning by using AI,,,FocTrack: Focus attention for visual tracking,,,Science Direct,,,https://doi.org/10.1016/j.patcog.2024.111128,,,,,
,Focus tracking in online learning by using AI,,,Harnessing Machine Learning and Generative AI: A New Era in Online Tutoring Systems,,,ACM Digital Library,,,https://doi.org/10.1145/3688086,,,,,
,Focus tracking in online learning by using AI,,,TeacherEye: An AI-Powered System for Monitoring Student Engagement in Online Education,,,IEEE Xplore,,,https://doi.org/10.1109/LT64002.2025.10940905,,,,,
,Focus tracking in online learning by using AI,,,Enhancing Student Engagement and Performance in Online Classrooms through a Smart Management Application,,,IEEE Xplore,,,https://doi.org/10.1109/ICEARS64219.2025.10940928,,,,,
,Focus tracking in online learning by using AI,,,The impact of artificial intelligence on learner–instructor interaction in online learning,,,Google Scholar,,,https://doi.org/10.1186/s41239-021-00292-9,,,,,
,Focus tracking in online learning by using AI,,,Ai-Powered Personalized Learning System Design: Student Engagement And Performance Tracking System,,,IEEE Xplore,,,https://doi.org/10.1109/ICACITE60783.2024.10617155,,,,,
,Focus tracking in online learning by using AI,,,Online multi-object tracking with unsupervised re-identification learning and occlusion estimation,,,Science Direct,,,https://doi.org/10.1016/j.neucom.2022.01.008,,,,,
,Focus tracking in online learning by using AI,,,A Proposed AI Method for Tracking College Students’ Academic Progress,,,IEEE Xplore,,,https://doi.org/10.1109/ITT59889.2023.10184256,,,,,
,Focus tracking in online learning by using AI,,,Exploring the Impact of AI on Teaching in Higher Education: an Exploratory Study,,,IEEE Xplore,,,https://doi.org/10.1109/MIPRO60963.2024.10569342,,,,,
,Focus tracking in online learning by using AI,,,Multi-Target Tracking by Online Learning a CRF Model of Appearance and Motion Patterns,,,Google Scholar,,,https://doi.org/10.1007/s11263-013-0666-4,,,,,
,Focus tracking in online learning by using AI,,,On-device Online Learning and Semantic Management of TinyML Systems,,,ACM Digital Library,,,https://doi.org/10.1145/3665278,,,,,
,Attention monitoring in e-learning using AI,,,Randomized Controlled Trial of the Behavioral Intervention for Physical Activity in Multiple Sclerosis Project: Response Heterogeneity and Predictors of Change,,,PubMed,,,https://doi.org/10.1007/s12529-024-10265-7,,,,,
,Attention monitoring in e-learning using AI,,,Configuring and Monitoring Students' Interactions with Generative AI Tools: Supporting Teacher Autonomy,,,ACM Digital Library,,,https://doi.org/10.1145/3706468.3706533,,,,,
,Attention monitoring in e-learning using AI,,,Artificial intelligence based cognitive state prediction in an e-learning environment using multimodal data,,,Google Scholar,,,https://doi.org/10.1007/s11042-023-18021-x,,,,,
,Attention monitoring in e-learning using AI,,,Assessment of Learners' Attention to E-Learning by Monitoring Facial Expressions for Computer Network Courses,,,Google Scholar,,,https://doi.org/10.2190/EC.47.4.b,,,,,
,Attention monitoring in e-learning using AI,,,EEG-Based Attention Feedback to Improve Focus in E-Learning,,,ACM Digital Library,,,https://doi.org/10.1145/3297156.3297157,,,,,
,Attention monitoring in e-learning using AI,,,Assessment of Student Attentiveness to E-Learning by Monitoring Behavioural Elements,,,IEEE Xplore,,,https://doi.org/10.1109/ICCCI50826.2021.9402283,,,,,
,Attention monitoring in e-learning using AI,,,Students' Attention Assessment in eLearning based on Machine Learning,,,Google Scholar,,,https://doi.org/10.1088/1755-1315/199/3/032042,,,,,
,Attention monitoring in e-learning using AI,,,Attention monitoring of students during online classes using XGBoost classifier,,,Science Direct,,,https://doi.org/10.1016/j.caeai.2023.100191,,,,,
,Attention monitoring in e-learning using AI,,,A Deep Learning-Enabled Approach for Real-Time Monitoring of Learner Activities in Adaptive E-Learning Environments,,,IEEE Xplore,,,https://doi.org/10.1109/ICCPCT61902.2024.10673041,,,,,
,Attention monitoring in e-learning using AI,,,Monitoring Students Attention on Smart Phone for E-Learning,,,Google Scholar,,,https://doi.org/10.1149/10701.7025ecst,,,,,
,Attention monitoring in e-learning using AI,,,Real-Time Attention Monitoring System for Classroom: A Deep Learning Approach for Student’s Behavior Recognition,,,Google Scholar,,,https://doi.org/10.3390/bdcc7010048,,,,,
,Attention monitoring in e-learning using AI,,,Improvement of Student Attention Monitoring Supported by Precision Sensing in Learning Management Systems,,,Google Scholar,,,https://doi.org/10.5772/intechopen.98764,,,,,
,Attention monitoring in e-learning using AI,,,"AI-Based Personalized E-Learning Systems: Issues, Challenges, and Solutions",,,IEEE Xplore,,,https://doi.org/10.1109/ACCESS.2022.3193938,,,,,
,Artificial Intelligent tutoring systems and focus,,,The application of AI technology in Intelligent Tutoring System,,,IEEE Xplore,,,https://doi.org/10.1109/ICETC.2010.5529201,,,,,
,Artificial Intelligent tutoring systems and focus,,,Natural Language Processing in Education System,,,IEEE Xplore,,,https://doi.org/10.1109/IDICAIEI61867.2024.10842725,,,,,
,Artificial Intelligent tutoring systems and focus,,,Using ChatGPT to annotate a dataset: A case study in intelligent tutoring systems,,,Science Direct,,,https://doi.org/10.1016/j.mlwa.2024.100557,,,,,
,Artificial Intelligent tutoring systems and focus,,,"Work-In-Progress-An Intelligent Immersive Learning System Using AI, XR and Robots",,,IEEE Xplore,,,https://doi.org/10.23919/iLRN52045.2021.9459358,,,,,
,Artificial Intelligent tutoring systems and focus,,,Artificial Intelligence in Language Classrooms: Improving Engagement and Outcomes,,,IEEE Xplore,,,https://doi.org/10.1109/ICICAT62666.2024.10923388,,,,,
